レコード種別,カラム名,位置,長さ
AV,レコード種別ID,0,2
AV,データ区分,2,1
AV,データ作成年月日,3,8
AV,開催年,11,4
AV,開催月日,15,4
AV,競馬場コード,19,2
AV,開催回,21,2
AV,開催日目,23,2
AV,レース番号,25,2
AV,発表月日時分,27,8
AV,馬番,35,2
AV,馬名,37,36
AV,事由区分,73,3
AV,レコード区切,76,2
BN,レコード種別ID,0,2
BN,データ区分,2,1
BN,データ作成年月日,3,8
BN,馬主コード,11,6
BN,馬主名法人,17,64
BN,馬主名,81,64
BN,馬主名半角カナ,145,50
BN,馬主名欧字,195,100
BN,服色標示,295,60
BN,本年累計成績情報_1_設定年,355,4
BN,本年累計成績情報_1_本賞金合計,359,10
BN,本年累計成績情報_1_付加賞金合計,369,10
BN,本年累計成績情報_1_着回数_1,379,6
BN,本年累計成績情報_1_着回数_2,385,6
BN,本年累計成績情報_1_着回数_3,391,6
BN,本年累計成績情報_1_着回数_4,397,6
BN,本年累計成績情報_1_着回数_5,403,6
BN,本年累計成績情報_1_着回数_6,409,6
BN,本年累計成績情報_2_設定年,415,4
BN,本年累計成績情報_2_本賞金合計,419,10
BN,本年累計成績情報_2_付加賞金合計,429,10
BN,本年累計成績情報_2_着回数_1,439,6
BN,本年累計成績情報_2_着回数_2,445,6
BN,本年累計成績情報_2_着回数_3,451,6
BN,本年累計成績情報_2_着回数_4,457,6
BN,本年累計成績情報_2_着回数_5,463,6
BN,本年累計成績情報_2_着回数_6,469,6
BN,レコード区切,475,2
BR,レコード種別ID,0,2
BR,データ区分,2,1
BR,データ作成年月日,3,8
BR,生産者コード,11,6
BR,生産者名法人,17,70
BR,生産者名,87,70
BR,生産者名半角カナ,157,70
BR,生産者名欧字,227,168
BR,生産者住所自治省名,395,20
BR,本年累計成績情報_1_設定年,415,4
BR,本年累計成績情報_1_本賞金合計,419,10
BR,本年累計成績情報_1_付加賞金合計,429,10
BR,本年累計成績情報_1_着回数_1,439,6
BR,本年累計成績情報_1_着回数_2,445,6
BR,本年累計成績情報_1_着回数_3,451,6
BR,本年累計成績情報_1_着回数_4,457,6
BR,本年累計成績情報_1_着回数_5,463,6
BR,本年累計成績情報_1_着回数_6,469,6
BR,本年累計成績情報_2_設定年,475,4
BR,本年累計成績情報_2_本賞金合計,479,10
BR,本年累計成績情報_2_付加賞金合計,489,10
BR,本年累計成績情報_2_着回数_1,499,6
BR,本年累計成績情報_2_着回数_2,505,6
BR,本年累計成績情報_2_着回数_3,511,6
BR,本年累計成績情報_2_着回数_4,517,6
BR,本年累計成績情報_2_着回数_5,523,6
BR,本年累計成績情報_2_着回数_6,529,6
BR,レコード区切,535,2
BT,レコード種別ID,0,2
BT,データ区分,2,1
BT,データ作成年月日,3,8
BT,繁殖登録番号,11,8
BT,系統ID,19,30
BT,系統名,49,36
BT,系統説明,85,6800
BT,レコード区切,6885,2
CC,レコード種別ID,0,2
CC,データ区分,2,1
CC,データ作成年月日,3,8
CC,開催年,11,4
CC,開催月日,15,4
CC,競馬場コード,19,2
CC,開催回,21,2
CC,開催日目,23,2
CC,レース番号,25,2
CC,発表月日時分,27,8
CC,変更後距離,35,4
CC,変更後トラックコード,39,2
CC,変更前距離,41,4
CC,変更前トラックコード,45,2
CC,事由区分,47,1
CC,レコード区切,48,2
CH,レコード種別ID,0,2
CH,データ区分,2,1
CH,データ作成年月日,3,8
CH,調教師コード,11,5
CH,調教師抹消区分,16,1
CH,調教師免許交付年月日,17,8
CH,調教師免許抹消年月日,25,8
CH,生年月日,33,8
CH,調教師名,41,34
CH,調教師名半角カナ,75,30
CH,調教師名略称,105,8
CH,調教師名欧字,113,80
CH,性別区分,193,1
CH,調教師東西所属コード,194,1
CH,招待地域名,195,20
CH,最近重賞勝利情報_1_年月日場回日R,215,16
CH,最近重賞勝利情報_1_競走名本題,231,60
CH,最近重賞勝利情報_1_競走名略称10文字,291,20
CH,最近重賞勝利情報_1_競走名略称6文字,311,12
CH,最近重賞勝利情報_1_競走名略称3文字,323,6
CH,最近重賞勝利情報_1_グレードコード,329,1
CH,最近重賞勝利情報_1_出走頭数,330,2
CH,最近重賞勝利情報_1_血統登録番号,332,10
CH,最近重賞勝利情報_1_馬名,342,36
CH,最近重賞勝利情報_2_年月日場回日R,378,16
CH,最近重賞勝利情報_2_競走名本題,394,60
CH,最近重賞勝利情報_2_競走名略称10文字,454,20
CH,最近重賞勝利情報_2_競走名略称6文字,474,12
CH,最近重賞勝利情報_2_競走名略称3文字,486,6
CH,最近重賞勝利情報_2_グレードコード,492,1
CH,最近重賞勝利情報_2_出走頭数,493,2
CH,最近重賞勝利情報_2_血統登録番号,495,10
CH,最近重賞勝利情報_2_馬名,505,36
CH,最近重賞勝利情報_3_年月日場回日R,541,16
CH,最近重賞勝利情報_3_競走名本題,557,60
